"STUDY_ID","REVIEWERS","INCLUDE","X.1","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"28","joep","NO","614","618","AM36IK8U","journalArticle","2022","Kang, Chuen Siang; Kanniah, Kasturi Devi","land use and land cover change and its impact on river morphology in johor river basin, malaysia","Journal of Hydrology: Regional Studies",NA,"2214-5818","10.1016/j.ejrh.2022.101072","https://www.sciencedirect.com/science/article/pii/S2214581822000854","study region johor river basin (jrb), malaysia. study focus the study generates long time-series land use and land cover (lulc) change at 5- years interval using google earth engine and investigate the lulc changes and river morphology changes of jrb. intensity analysis on the lulc changes was conducted to highlight the transition between lulc. targeted transition from natural to disturbed lands were detected, which impact the river morphology of the basin. river morphology changes were identified along johor river, based on the centerline migration derived from channel migration toolbox. new hydrological insights for the region jrb has undergone high intensity lulc change over the past decades due to significant economic and population growth which impacted the river morphology. channel migration analysis reported high river centerline migration (498609 m2 to 1853886 m2) of johor river. higher migration rate was identified at the estuary of the johor river and several locations along the river. specific locations with high channel migration were highlighted where human-induced changes are the factors to affect the morphology of the river. the proposed method is first applied in the region and the results enhance local and regional policies and decision making on food and water security, prevent extreme events such as floods, and further degradation of natural land.","2022-06-01","2024-01-19 10:23:44","2024-01-19 10:23:44",NA,"101072",NA,NA,"41",NA,"Journal of Hydrology: Regional Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Channel migration; Google Earth Engine (GEE); Johor River Basin; Land Use Land Cover (LULC) change; River Morphology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","joep","YES","456","460","L7UKBSXG","journalArticle","2023","Priyanka; Rajat; Avtar, Ram; Malik, Rashmi; Musthafa, M.; Rathore, Virendra S.; Kumar, Praveen; Singh, Gulab","forest plantation species classification using full-pol-time-averaged sar scattering powers","Remote Sensing Applications: Society and Environment",NA,"2352-9385","10.1016/j.rsase.2023.100924","https://www.sciencedirect.com/science/article/pii/S235293852300006X","forest plantation species identification is essential for biodiversity conservation, sustainable management, and carbon sequestration. fully polarimetric synthetic aperture radar (full-pol-sar) remote sensing data aids as an alternative to time-consuming field inventory and cloud-covered optical data for forest plantation species identification. this study tried to identify forest plantation species using fully polarimetric time-series averaged sar (full-pol-time-averaged sar) datasets. due to the availability of time series quad polarization data of terrasar-x from december 20, 2014 to march 07, 2015 and near-real-time field with us for the haldwani forest area, we have utilized these data sets for the proposed work. the temporal effect of phenological changes can be characterized using the full-pol-sar 6-component scattering power decomposition (6sd) and is utilized to identify different forest species. misclassification problem exists in forests with single-date 6sd images, an improved forest species classification approach based on time-averaged 6sd and a supervised random forest (rf) classifier is proposed. this study reveals that teak, eucalyptus, poplar, mixed, and non-forest could be distinctly identified and classified in time-averaged 6sd images. the overall classification accuracy of the proposed approach (∼83.72%) was, higher than the single-date full-pol-sar results (mean overall accuracy with standard deviation 68.949 ± 2.096%).","2023-01-01","2024-01-19 10:23:38","2024-01-19 10:23:38",NA,"100924",NA,NA,"29",NA,"Remote Sensing Applications: Society and Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decomposition; Polarimetric radar; Random forest; TerraSAR-X; Uttarakhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","joep","YES","119","123","JBJ954MQ","journalArticle","2023","Ismaili, Maryem; Krimissa, Samira; Namous, Mustapha; Htitiou, Abdelaziz; Abdelrahman, Kamal; Fnais, Mohammed S.; Lhissou, Rachid; Eloudi, Hasna; Faouzi, Elhousna; Benabdelouahab, Tarik","assessment of soil suitability using machine learning in arid and semi-arid regions","Agronomy",NA,"2073-4395","10.3390/agronomy13010165",NA,"increasing agricultural production is a major concern that aims to increase income, reduce hunger, and improve other measures of well-being. recently, the prediction of soil-suitability has become a primary topic of rising concern among academics, policymakers, and socio-economic analysts to assess dynamics of the agricultural production. this work aims to use physico-chemical and remotely sensed phenological parameters to produce soil-suitability maps (ssm) based on machine learning (ml) algorithms in a semi-arid and arid region. towards this goal an inventory of 238 suitability points has been carried out in addition to14 physico-chemical and 4 phenological parameters that have been used as inputs of machine-learning approaches which are five mla prediction, namely rf, xgbtree, ann, knn and svm. the results showed that phenological parameters were found to be the most influential in soil-suitability prediction. the validation of the receiver operating characteristics (roc) curve approach indicates an area under the curve and an auc of more than 0.82 for all models. the best results were obtained using the xgbtree with an auc = 0.97 in comparison to other mla. our findings demonstrate an excellent ability for ml models to predict the soil-suitability using physico-chemical and phenological parameters. the approach developed to map the soil-suitability is a valuable tool for sustainable agricultural development, and it can play an effective role in ensuring food security and conducting a land agriculture assessment.","2023","2024-01-19 10:21:52","2024-01-19 10:21:52",NA,NA,NA,"1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agricultural management; digital soil mapping; precision agriculture; random forest; remote sensing; sentinel-2; XgbTree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","joep","YES","34","34","C57EB22D","journalArticle","2022","Dai, Menglin; Ward, Wil O C; Arbabi, Hadi; Danielle Densley Tingley; Mayfield, Martin","scalable residential building geometry characterisation using vehicle-mounted camera system","Energies",NA,NA,"10.3390/en15166090","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/scalable-residential-building-geometry/docview/2706194206/se-2?accountid=12045","residential buildings are an important sector in the urban environment as they provide essential dwelling space, but they are also responsible for a significant share of final energy consumption. in addition, residential buildings that were built with outdated standards usually face difficulty meeting current energy performance standards. the situation is especially common in europe, as 35% of buildings were built over fifty years ago. building retrofitting techniques provide a choice to improve building energy efficiency while maintaining the usable main structures, as opposed to demolition. the retrofit assessment requires the building stock information, including energy demand and material compositions. therefore, understanding the building stock at scale becomes a critical demand. a significant piece of information is the building geometry, which is essential in building energy modelling and stock analysis. in this investigation, an approach has been developed to automatically measure building dimensions from remote sensing data. the approach is built on a combination of unsupervised machine learning algorithms, including k-means++, dbscan and ransac. this work is also the first attempt at using a vehicle-mounted data-capturing system to collect data as the input to characterise building geometry. the developed approach is tested on an automatically built and labelled point cloud model dataset of residential buildings and shows capability in acquiring comprehensive geometry information while keeping a high level of accuracy when processing an intact model.","2022","2024-01-16 09:03:52","2024-01-19 10:58:44",NA,"6090",NA,"16","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2706194206",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/bSX1O?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzI0MDIyCjI3MDYxOTQyMDY6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMi8wMS8wMXIKMjAyMi8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=ZMhV5IDFDfykZgjet8dgE6VtOOY%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Scalable+Residential+Building+Geometry+Characterisation+Using+Vehicle-Mounted+Camera+System&title=Energies&issn=&date=2022-01-01&volume=15&issue=16&spage=6090&au=Dai%2C+Menglin%3BWard%2C+Wil+O+C%3BArbabi%2C+Hadi%3BDanielle+Densley+Tingley%3BMayfield%2C+Martin&isbn=&jtitle=Energies&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Fen15166090","building dimension measurement; building reconstruction; building stock; Buildings; Cameras; Climate change; Data collection; Datasets; DBSCAN; Emissions; Energy; Energy consumption; Energy demand; Energy efficiency; Geometry; Libraries; Performance standards; Photogrammetry; Random sample consensus; Remote sensing; Residential area; Residential areas; Residential building; Residential buildings; Residential energy; Retrofitting; Three dimensional models; United Kingdom--UK; Unmanned aerial vehicles; urban building energy modelling; Urban environments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","joep","NO","827","831","E2RN6GQW","journalArticle","2022","Boldrini, Enrico; Nativi, Stefano; Pecora, Silvano; Chernov, Igor; Mazzetti, Paolo","multi-scale hydrological system-of-systems realized through whos: the brokering framework","International Journal of Digital Earth",NA,"1753-8947","10.1080/17538947.2022.2099591","https://doi.org/10.1080/17538947.2022.2099591","global change challenges are now systematically recognized and tackled in a growingly coordinated manner by intergovernmental organizations such as the united nations. heterogeneous observing networks provide the founded data sources to assess the earth environmental status and take sound decisions to achieve a sustainable development. wmo hydrological observing system (whos) allows to discover and access historical and near real time hydrological observations. whos represents the hydrological contribution to the wider wigos-wis system of wmo. it is a digital ecosystems framework contributed by a set of data providers and technical support centers. in this framework, three regional pilots were successfully completed. the whos architecture applies the services brokering style, implemented through the discovery and access broker technology. a brokering approach makes a global system of systems possible and sustainable, where the different enterprise systems are enabled to interoperate, despite they implement heterogeneous communication interfaces and data models. in this manuscript, the whos brokering solution is detailed by recurring to the definition of a set of transversal viewpoints to describe the important aspects of the complex ecosystem –namely: enterprise, information, computational, engineering, and technological views. finally, the three regional pilot ecosystems are described as successful cases of whos implementation.","2022-12-31","2024-01-19 10:24:12","2024-01-19 10:24:12",NA,"1259-1289",NA,"1","15",NA,"International Journal of Digital Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","joep","YES","895","899","RXLHEXM2","journalArticle","2022","Cheng, Enhui; Zhang, Bing; Peng, Dailiang; Zhong, Liheng; Yu, Le; Liu, Yao; Xiao, Chenchao; Li, Cunjun; Li, Xiaoyi; Chen, Yue; Ye, Huichun; Wang, Hongye; Yu, Ruyi; Hu, Jinkang; Yang, Songlin","wheat yield estimation using remote sensing data based on machine learning approaches.","Frontiers in plant science",NA,"1664-462X","10.3389/fpls.2022.1090970",NA,"accurate predictions of wheat yields are essential to farmers'production plans and to the international trade in wheat. however, only poor approximations of the  productivity of wheat crops in china can be obtained using traditional linear  regression models based on vegetation indices and observations of the yield. in  this study, sentinel-2 (multispectral data) and zy-1 02d (hyperspectral data)  were used together with 15709 gridded yield data (with a resolution of 5 m × 5 m)  to predict the winter wheat yield. these estimates were based on four mainstream  data-driven approaches: long short-term memory (lstm), random forest (rf),  gradient boosting decision tree (gbdt), and support vector regression (svr). the  method that gave the best estimate of the winter wheat yield was determined, and  the accuracy of the estimates based on multispectral and hyperspectral data were  compared. the results showed that the lstm model, for which the rmse of the  estimates was 0.201 t/ha, performed better than the rf (rmse = 0.260 t/ha), gbdt  (rmse = 0.306 t/ha), and svr (rmse = 0.489 t/ha) methods. the estimates based on  the zy-1 02d hyperspectral data were more accurate than those based on the 30-m  sentinel-2 data: rmse = 0.237 t/ha for the zy-1 02d data, which is about a 5%  improvement on the rsme of 0.307 t/ha for the 30-m sentinel-2 data. however, the  10-m sentinel-2 data performed even better, giving an rmse of 0.219 t/ha. in  addition, it was found that the greenness vegetation index sr (simple ratio  index) outperformed the traditional vegetation indices. the results highlight the  potential of the shortwave infrared bands to replace the visible and  near-infrared bands for predicting crop yields our study demonstrates the  advantages of the deep learning method lstm over machine learning methods in  terms of its ability to make accurate estimates of the winter wheat yield.","2022","2024-01-19 10:24:44","2024-01-19 11:00:58",NA,"1090970",NA,NA,"13",NA,"Front Plant Sci",NA,NA,NA,NA,NA,NA,NA,"eng","Copyright © 2022 Cheng, Zhang, Peng, Zhong, Yu, Liu, Xiao, Li, Li, Chen, Ye, Wang, Yu, Hu and Yang.",NA,NA,NA,NA,NA,"Place: Switzerland PMID: 36618627  PMCID: PMC9816798",NA,NA,NA,"band selection; deep learning; google earth engine (GEE); hyperspectral; winter wheat; yield estimation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","joep","YES","4","4","7FS863DE","journalArticle","2023","Li, Tong; Xia, Anquan; McLaren, Timothy I; Pandey, Rajiv; Xu, Zhihong; Liu, Hongdou; Manning, Sean; Madgett, Oli; Duncan, Sam; Rasmussen, Peter; Ruhnke, Florian; Yüzügüllü, Onur; Fajraoui, Noura; Beniwal, Deeksha; Chapman, Scott; Tsiminis, Georgios; Smith, Chaya; Dalal, Ram C; Dang, Yash P","preliminary results in innovative solutions for soil carbon estimation: integrating remote sensing, machine learning, and proximal sensing spectroscopy","Remote Sensing",NA,NA,"10.3390/rs15235571","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/preliminary-results-innovative-solutions-soil/docview/2899449427/se-2?accountid=12045","this paper explores the application and advantages of remote sensing, machine learning, and mid-infrared spectroscopy (mir) as a popular proximal sensing spectroscopy tool in the estimation of soil organic carbon (soc). it underscores the practical implications and benefits of the integrated approach combining machine learning, remote sensing, and proximal sensing for soc estimation and prediction across a range of applications, including comprehensive soil health mapping and carbon credit assessment. these advanced technologies offer a promising pathway, reducing costs and resource utilization while improving the precision of soc estimation. we conducted a comparative analysis between mir-predicted soc values and laboratory-measured soc values using 36 soil samples. the results demonstrate a strong fit (r² = 0.83), underscoring the potential of this integrated approach. while acknowledging that our analysis is based on a limited sample size, these initial findings offer promise and serve as a foundation for future research. we will be providing updates when we obtain more data. furthermore, this paper explores the potential for commercialising these technologies in australia, with the aim of helping farmers harness the advantages of carbon markets. based on our study’s findings, coupled with insights from the existing literature, we suggest that adopting this integrated soc measurement approach could significantly benefit local economies, enhance farmers’ ability to monitor changes in soil health, and promote sustainable agricultural practices. these outcomes align with global climate change mitigation efforts. furthermore, our study’s approach, supported by other research, offers a potential template for regions worldwide seeking similar solutions.","2023","2024-01-16 09:03:45","2024-01-19 10:56:18",NA,"5571",NA,"23","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2899449427",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/8mvWW?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMzgyCjI4OTk0NDk0Mjc6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMy8wMS8wMXIKMjAyMy8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=7Xp0RDagY9ApqE0s5jNl9ojbCdY%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Preliminary+Results+in+Innovative+Solutions+for+Soil+Carbon+Estimation%3A+Integrating+Remote+Sensing%2C+Machine+Learning%2C+and+Proximal+Sensing+Spectroscopy&title=Remote+Sensing&issn=&date=2023-01-01&volume=15&issue=23&spage=5571&au=Li%2C+Tong%3BXia%2C+Anquan%3BMcLaren%2C+Timothy+I%3BPandey%2C+Rajiv%3BXu%2C+Zhihong%3BLiu%2C+Hongdou%3BManning%2C+Sean%3BMadgett%2C+Oli%3BDuncan%2C+Sam%3BRasmussen%2C+Peter%3BRuhnke%2C+Florian%3BY%C3%BCz%C3%BCg%C3%BCll%C3%BC%2C+Onur%3BFajraoui%2C+Noura%3BBeniwal%2C+Deeksha%3BChapman%2C+Scott%3BTsiminis%2C+Georgios%3BSmith%2C+Chaya%3BDalal%2C+Ram+C%3BDang%2C+Yash+P&isbn=&jtitle=Remote+Sensing&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Frs15235571","Agricultural practices; Algorithms; Australia; Carbon; carbon cycle; Climate change; Climate change mitigation; commercialization; Comparative analysis; Deep learning; Farmers; Global climate; Infrared spectra; Infrared spectroscopy; Learning algorithms; Local economy; low-cost estimation; Machine learning; model; Neural networks; Organic carbon; Organic soils; Physics; Remote sensing; Remote sensing systems; Resource utilization; Soil microorganisms; Soils; Spectrum analysis; Support vector machines; Sustainable agriculture; sustainable farming; Sustainable practices; Vegetation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","joep","NO","863","867","6LXDA6CI","journalArticle","2020","Nativi, Stefano; Santoro, Mattia; Giuliani, Gregory; Mazzetti, Paolo","towards a knowledge base to support global change policy goals","International Journal of Digital Earth",NA,"1753-8947","10.1080/17538947.2018.1559367","https://doi.org/10.1080/17538947.2018.1559367","in 2015, it was adopted the 2030 agenda for sustainable development to end poverty, protect the planet and ensure that all people enjoy peace and prosperity. the year after, 17 sustainable development goals (sdgs) officially came into force. in 2015, geo (group on earth observation) declared to support the implementation of sdgs. the geo global earth observation system of systems (geoss) required a change of paradigm, moving from a data-centric approach to a more knowledge-driven one. to this end, the geo system-of-systems (sos) framework may refer to the well-known data-information-knowledge-wisdom (dikw) paradigm. in the context of an earth observation (eo) sos, a set of main elements are recognized as connecting links for generating knowledge from eo and non-eo data – e.g. social and economic datasets. these elements are: essential variables (evs), indicators and indexes, goals and targets. their generation and use requires the development of a sos kb whose management process has evolved the geoss software ecosystem into a geoss social ecosystem. this includes: collect, formalize, publish, access, use, and update knowledge. connectingeo project analysed the knowledge necessary to recognize, formalize, access, and use evs. the analysis recognized geoss gaps providing recommendations on supporting global decision-making within and across different domains.","2020-02-01","2024-01-19 10:24:17","2024-01-19 10:24:17",NA,"188-216",NA,"2","13",NA,"International Journal of Digital Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","joep","YES","814","818","HAM4FH4F","journalArticle","2022","Tang, Yunwei; Qiu, Fang; Wang, Bangjin; Wu, Di; Jing, Linhai; Sun, Zhongchang","a deep relearning method based on the recurrent neural network for land cover classification","GIScience & Remote Sensing",NA,"1548-1603","10.1080/15481603.2022.2115589","https://doi.org/10.1080/15481603.2022.2115589","recent developments in deep learning (dl) techniques have provided a series of new methods for land cover classification. however, most dl-based methods do not consider the rich spatial association of land cover classes embedded in remote sensing images. in this research, a deep relearning method based on the recurrent neural network (drrnn) is proposed for land cover classification. the relearning approach has great potential to improve classification, which has never been used in dl-based land cover classification. to utilize the spatial association of the pixels’ information classes, a class correlated feature (ccf) is first extracted in a local window from an initial classification result. this feature can reflect both the spatial autocorrelation and spatial arrangement of land cover classes. since the recurrent neural network (rnn) is designed to process sequential data, the ccf is formed as a feature sequence, allowing rnn to model the dependency between class labels. the relearning process is then applied to iteratively classify remote sensing images based on the ccf and spectral-spatial feature. at each relearning iteration, the ccf is learned from the previous classification result until a stopping condition is satisfied. this method was tested on five remote sensing images with different sensors and diverse environments. it was observed that noise in the classification result can be filtered by considering spatial autocorrelation, and misclassified areas can be corrected by incorporating spatial arrangement in the relearning process. the classification results indicate that compared to other state-of-the-art dl methods, the proposed method consistently achieves the highest accuracy.","2022-12-31","2024-01-19 10:24:11","2024-01-19 10:24:11",NA,"1344-1366",NA,"1","59",NA,"GIScience & Remote Sensing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","joep","YES","275","279","DA69VDUQ","journalArticle","2022","Chen, Youlin; Yu, Peiheng; Chen, Yiyun; Chen, Zeyi","spatiotemporal dynamics of rice–crayfish field in mid-china and its socioeconomic benefits on rural revitalisation","Applied Geography",NA,"0143-6228","10.1016/j.apgeog.2022.102636","https://www.sciencedirect.com/science/article/pii/S0143622822000078","agricultural sustainability has important value for boosting regional growth. in recent years, the unprecedented expansion of rice–crayfish field (rcf) in the rural areas of mid-china has raised great concerns in terms of its spatiotemporal dynamics and socioeconomic impact. with jianli city in mid-china as a case, this study aimed to (1) comprehensively investigate the land-use change in rcf with combined remote sensing and geospatial data analysis, (2) delineate the variations of rcf and socioeconomic benefits from 2010 to 2019 and (3) explore the influencing factors and driving mechanism by using a multiscale geographically weighted regression model. results illustrated that the rcf development in jianli city showed an overall uptrend between 2000 and 2019. the area of rcf in 2019 expanded by 599.95% from 2015 levels (from 10,350 ha to 72,445 ha). these extensively expanded rcfs were mainly converted from paddy fields and are distributed around the water area. in terms of socioeconomic benefits, the economic income of villagers increased, whilst the number of out-migrant workers decreased. rcf development effectively contributed to regional economic growth and reduced rural depopulation, thereby facilitating rural transformation from traditional agricultural to characteristic agriculture. the findings clearly showed the spatiotemporal dynamics of rcf and its positive impact on the socioeconomic development of rural areas, thus providing evidence for formulating targeted rural revitalisation policies to achieve rural sustainability.","2022-02-01","2024-01-19 10:23:27","2024-01-19 10:23:27",NA,"102636",NA,NA,"139",NA,"Applied Geography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiscale geographically weighted regression; Rice–crayfish field; Rural revitalisation; Rural transformation; Socioeconomic benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","joep","NO","97","99","DQLSG39W","journalArticle","2022","Woodward, Linda","digital twin simulation and modeling tools, deep learning-based sensing and technologies, and computer vision algorithms in big data-driven urban geopolitics","Geopolitics, History, and International Relations",NA,"19489145, 23744383","10.22381/GHIR14220223","https://www.jstor.org/stable/48710611","[this paper provides a systematic literature review of studies investigating algorithm-driven sensing devices, urban analytics and data visualization tools, and geospatial mapping and deep neural network technologies. the analysis highlights that big geospatial data and real-time predictive analytics leverages digital twin simulation modeling, cognitive computing systems, and internet of things-based connected devices. throughout may 2022, i performed a quantitative literature review of the web of science, scopus, and proquest databases, with search terms including “big data-driven urban geopolitics” + “digital twin simulation and modeling tools,” “deep learning-based sensing and technologies,” and “computer vision algorithms.” as i inspected research published between 2021 and 2022, only 172 articles satisfied the eligibility criteria. by eliminating controversial findings, outcomes unsubstantiated by replication, too imprecise material, or having similar titles, i decided upon 30, generally empirical, sources. data visualization tools: dimensions (bibliometric mapping) and vosviewer (layout algorithms). reporting quality assessment tool: prisma. methodological quality assessment tools include: amstar, distiller sr, mmat, and robis.]","2022","2024-01-19 10:21:46","2024-01-19 10:21:50","2024-01-15","40-55",NA,"2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JSTOR",NA,NA,NA,"Publisher: Addleton Academic Publishers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
