"STUDY_ID","REVIEWERS","INCLUDE","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"19","joep_2a","YES","734","GMVSV3H4","journalArticle","2022","Owers, Christopher J.; Lucas, Richard M.; Clewley, Daniel; Tissott, Belle; Chua, Sean M. T.; Hunt, Gabrielle; Mueller, Norman; Planque, Carole; Punalekar, Suvarna M.; Bunting, Pete; Tan, Peter; Metternicht, Graciela","operational continental-scale land cover mapping of australia using the open data cube","International Journal of Digital Earth",NA,"1753-8947","10.1080/17538947.2022.2130461","https://doi.org/10.1080/17538947.2022.2130461","to comprehensively support national and international initiatives for sustainable development, land cover products need to be reliably and routinely generated within operational frameworks. coupled with consistent semantics and taxonomies, ensuring confidence in mapping land cover for multiple time periods, facilitates informed decision-making at scales appropriate to multiple policy domains. the united nations food and agriculture organisation (fao) land cover classification system (lccs) provides a taxonomy that comparable at different scales, level of detail and geographic location. the open data cube (odc) initiative offers a framework for operational continental-scale land cover mapping using analysis-ready earth observation data. this study utilised the fao lccs framework and the landsat sensor data through digital earth australia (dea; australia’s odc instance) to generate consistent and continent-wide land cover mapping (dea land cover) of the australian continent. dea land cover provides annual maps from 1988 to 2020 at 25 m resolution. output maps were validated with ∼12,000 independent validation points, giving an overall map accuracy of 80%. dea land cover provides australia with a nationally consistent picture of land cover, with an open-source software package using readily available global coverage data and demonstrates a pathway of adoption for national implementations across the world.","2022-12-31","2024-01-19 10:24:09","2024-01-19 10:24:09",NA,"1715-1737",NA,"1","15",NA,"International Journal of Digital Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","joep_2a","NO","399","WAG4GYZW","journalArticle","2021","del Campo, Antonio D.; Segura-Orenga, Guillem; Bautista, Inmaculada; Ceacero, Carlos J.; González-Sanchis, María; Molina, Antonio J.; Hermoso, Javier","assessing reforestation failure at the project scale: the margin for technical improvement under harsh conditions. a case study in a mediterranean dryland","Science of The Total Environment",NA,"0048-9697","10.1016/j.scitotenv.2021.148952","https://www.sciencedirect.com/science/article/pii/S0048969721040249","poor reforestation outcomes imply failure to fulfill program goals and tend to erode institutional willpower and political momentum towards reforestation efforts, affecting both public and private support. however, program improvement in real reforestation projects is challenging, due to the conjunction of many different variables that mutually interact and feed back on each other inextricably. this study develops a comprehensive assessment framework for reforestation programs, for which technical and environmental information is gathered and related to indicators of performance in both the short- and mid-term. this assessment, tested on a case study, aimed to provide reliable end-results for survival and growth, revealed pitfalls in successful plantation establishment and taught us how to improve plantation performance and what the margin for this improvement was. the selected project was carried out on harsh site conditions, with different species, cultivation treatments and contractors, and was affected by the driest year on record. plantation mortality was high and increased progressively over time, particularly in the short-term when the rate was 53% (rising to 83% after ten years), showing high variation between sites and species (pinus pinaster and quercus faginea died more than 94% after ten years while junipus phoenicea only 40%). all the hardwoods and the juniper showed lower growth rate after ten years (average stem volume < 40 cm3) than pines (stem volume > 470 cm3). technical variables (project planning and execution) had a relatively important impact on plantation performance in the first two years (11–29%), but decreased with time, whilst environmental variables (site and meteorological) were more important ten years after planting (>50%). in the short-term, soil moisture and meteorology during the planting season were identified as key factors that triggered the effects of both technical decisions (planting date and planting technique) and other environmental variables on performance. in the design phase, some decisions related to zoning, species selection and cultural treatments were related to poor performance. the results provide practical information and guidelines about all potential drivers of plantation performance and contribute to identify those aspects more related to success of forest restoration in mediterranean drylands.","2021-11-20","2024-01-19 10:23:36","2024-01-19 10:23:36",NA,"148952",NA,NA,"796",NA,"Science of The Total Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boosted regression trees model; Ecosystem restoration; Establishment; Growth; Restoration improvement; sp.; Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","joep_2a","NO","31","M9IAY6NQ","journalArticle","2021","Sheikh, Kamran Abid; Sulaiman, Noralfishah; Shiau, Wei Chan; Nazir, Umber; Abid, Muhammad; Han, Heesup; Ariza-Montes, Antonio; Vega-Muñoz, Alejandro","toward an integrated disaster management approach: how artificial intelligence can boost disaster management","Sustainability",NA,NA,"10.3390/su132212560","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/toward-integrated-disaster-management-approach/docview/2602268941/se-2?accountid=12045","technical and methodological enhancement of hazards and disaster research is identified as a critical question in disaster management. artificial intelligence (ai) applications, such as tracking and mapping, geospatial analysis, remote sensing techniques, robotics, drone technology, machine learning, telecom and network services, accident and hot spot analysis, smart city urban planning, transportation planning, and environmental impact analysis, are the technological components of societal change, having significant implications for research on the societal response to hazards and disasters. social science researchers have used various technologies and methods to examine hazards and disasters through disciplinary, multidisciplinary, and interdisciplinary lenses. they have employed both quantitative and qualitative data collection and data analysis strategies. this study provides an overview of the current applications of ai in disaster management during its four phases and how ai is vital to all disaster management phases, leading to a faster, more concise, equipped response. integrating a geographic information system (gis) and remote sensing (rs) into disaster management enables higher planning, analysis, situational awareness, and recovery operations. gis and rs are commonly recognized as key support tools for disaster management. visualization capabilities, satellite images, and artificial intelligence analysis can assist governments in making quick decisions after natural disasters.","2021","2024-01-16 09:03:54","2024-01-19 10:59:59",NA,"12560",NA,"22","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Coronavirus Research Database; Publicly Available Content Database","2602268941",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/gvubL?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMjcyCjI2MDIyNjg5NDE6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMS8wMS8wMXIKMjAyMS8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=Md4gjgSnEI52RXqorup5JZOWxgw%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Toward+an+Integrated+Disaster+Management+Approach%3A+How+Artificial+Intelligence+Can+Boost+Disaster+Management&title=Sustainability&issn=&date=2021-01-01&volume=13&issue=22&spage=12560&au=Sheikh%2C+Kamran+Abid%3BSulaiman%2C+Noralfishah%3BShiau%2C+Wei+Chan%3BNazir%2C+Umber%3BAbid%2C+Muhammad%3BHan%2C+Heesup%3BAriza-Montes%2C+Antonio%3BVega-Mu%C3%B1oz%2C+Alejandro&isbn=&jtitle=Sustainability&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Fsu132212560","artificial intelligence; Artificial intelligence; China; Data collection; Databases; Decision analysis; Disaster; disaster management; Disaster management; Disaster relief; Disaster studies; Emergency preparedness; Environmental impact; Environmental impact assessment; Environmental Studies; Floods; geographic information system; Geographic information system; Geographic information systems; Hazard identification; Impact analysis; India; Information systems; Intelligence (information); Learning algorithms; Machine learning; Management; Natural disasters; Object recognition; Qualitative analysis; Remote sensing; Robotics; Satellite imagery; Satellites; Situation awareness; Situational awareness; Spatial analysis; Sustainability; Transportation planning; United States--US; Urban planning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","joep_2a","NO","585","U46GRARC","journalArticle","2021","Hu, Zengyun; Zhang, Zizhan; Sang, Yan-Fang; Qian, Jing; Feng, Wei; Chen, Xi; Zhou, Qiming","temporal and spatial variations in the terrestrial water storage across central asia based on multiple satellite datasets and global hydrological models","Journal of Hydrology",NA,"0022-1694","10.1016/j.jhydrol.2021.126013","https://www.sciencedirect.com/science/article/pii/S0022169421000603","arid regions of central asia have sensitive ecosystems that rely heavily on terrestrial water storage which is composed of surface water storage, soil moisture storage and groundwater storage. therefore, we employed three gravity recovery and climate experiment (grace) satellite datasets and five global hydrological models (ghms) to explore the terrestrial water storage (tws) changes over arid regions of central asia from 2003 to 2014. we observed significantly decreasing water storage trends in the grace data, which were underestimated by the ghms. after averaging the three grace satellite datasets, we found that the water storage was decreasing at a rate of −4.74 mm/year. contrary to the prevailing declining water storage trends, northeastern kazakhstan (kaz), and southern xinjiang increased their water storage over the same period. the grace data showed that turkmenistan (tkm), uzbekistan (uzb) and kaz experienced the most severe water depletions, while tajikistan (tjk) and northwest china (nw) experienced the least significant depletions. with respect to the major river and lake basins, the aral sea basin exhibited the most serious water loss (-0.60 mm/month to −0.38 mm/month). the water storage positively correlates with the precipitation; and negatively correlates, with a three-month lag, with temperature and potential evapotranspiration (pet). partial least square regression (plsr) had the high capability in simulating and predicting the tws. these results provide scientific evidence and guidance for local policy makers working toward sustainable water resource management, and the resolution of international water resource disputes among central asian countries.","2021-05-01","2024-01-19 10:23:43","2024-01-19 10:23:43",NA,"126013",NA,NA,"596",NA,"Journal of Hydrology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central Asia; Global hydrological model; GRACE satellite dataset; Partial least square regression; Terrestrial water storage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","joep_2a","YES","477","4MTES2GD","journalArticle","2022","Sugimoto, Ryu; Kato, Soushi; Nakamura, Ryosuke; Tsutsumi, Chiaki; Yamaguchi, Yoshio","deforestation detection using scattering power decomposition and optimal averaging of volume scattering power in tropical rainforest regions","Remote Sensing of Environment",NA,"0034-4257","10.1016/j.rse.2022.113018","https://www.sciencedirect.com/science/article/pii/S0034425722001328","synthetic aperture radar (sar) has been a powerful tool for deforestation detection in tropical rainforests. polarimetric sar (polsar) data are acquired in a quad-polarization mode, and l-band polsar data in particular are one of the few sar data types that preserve the dielectric properties and structures of the scatterer. polsar data consist of 2 × 2 scattering matrices and consequently offer superior target recognition compared with dual-polarization data. in this study, we applied scattering power decomposition suitable for detecting deforestation in near real-time to polsar data obtained from the earth observation sensor phased array type l-band synthetic aperture radar-2 (palsar-2). the reflection symmetry condition is known to apply to natural distributed objects (i.e., the cross-correlation between co- and cross-polarization data is zero). inspired by this, we theoretically and experimentally examined the volume scattering power component to distinguish natural forests from the surrounding area. two important results were verified for natural forests: as the window size of the ensemble average increases, (i) the coherency matrix approaches a simple theoretical form and (ii) the volume scattering power becomes dominant among the scattering power components. based on these results, we constructed an algorithm that applies scattering power decomposition for detecting deforestation. we produced reference data using high-resolution optical images and evaluated the performance of the derived deforestation map in the amazon natural forest when employing various window sizes for the ensemble average. at an optimal window size of 15 × 15 pixels, the deforestation detection performance reached a user's accuracy of 94.9% ± 1.5%, a producer's accuracy of 72.3% ± 1.2%, and a kappa coefficient of 0.816 ± 0.0039. sparse trees left after logging increased the volume scattering power and reduced the producer's accuracy. the proposed algorithm can contribute to deforestation detection with slightly lower accuracy than that of the annual map provided by global forest change. further, the proposed algorithm is robust to the seasonal variations in tropical rainforests and temporal variations in the deforestation process. consequently, the proposed algorithm employing the six-component scattering power decomposition method can be utilized in near real-time without considering applicable areas in tropical rainforests. subsequently, we applied our algorithm to dual-polarization data, which are acquired by palsar-2 much more frequently than polsar data. the false detection rate did not increase when using the dual-polarization data; however, the omission error increased considerably compared with that when using polsar data owing to the low total power obtained from the dual-polarization data.","2022-06-15","2024-01-19 10:23:39","2024-01-19 10:23:39",NA,"113018",NA,NA,"275",NA,"Remote Sensing of Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deforestation; PALSAR-2; POLSAR; Reflection symmetry condition; Scattering power decomposition; Volume scattering power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","joep_2a","YES","864","3MPCKH2B","journalArticle","2020","Nazir, U; Mian, UK; Sohail, MU; Taj, M; Uppal, M","kiln-net: a gated neural network for detection of brick kilns in south asia","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING",NA,"1939-1404","10.1109/JSTARS.2020.3001980",NA,"the availability of high-resolution satellite imagery has enabled several new applications such as identification of brick kilns for the elimination of modern-day slavery. this requires automated analysis of approximately 1 551 997 km(2) area within the ""brick-kiln-belt"" of south asia. although modern machine learning techniques have achieved high accuracy for a wide variety of applications, problems involving large-scale analysis using high-resolution satellite imagery requires both accuracy as well as computational efficiency. we propose a coarse-to-fine strategy consisting of an inexpensive classifier and a detector, which work in tandem to achieve high accuracy at low computational cost. more specifically, we propose a two-stage gated neural network architecture called kiln-net. at the first stage, imagery is classified using the resnet-152 modelwhich filters out over99% of irrelevant data. at the second stage, a yolov3-based object detector is applied to find the precise location of each brick kiln in the candidate regions. the dataset, named asia14, consisting of 14 000 digital globe rgb images and 14 categories is also developed to train the proposed kiln-net architecture. ourproposed network architecture is evaluated on approximately 3,300 km(2) region ( 337 723 image patches) from 14 different cities in five different countries of south asia. it outperforms state-of-the-art methods employed for the recognition of brick kilns and achieved an accuracy of 99.96% and average f1 score of 0.91. to the best of our knowledge, it is also 20 x faster than existing methods.","2020","2024-01-19 10:21:39","2024-01-19 10:53:59",NA,"3251-3262",NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","Alganci U, 2020, REMOTE SENS-BASEL, V12, DOI 10.3390/rs12030458",NA,NA,"WOS:000543958200001",NA,NA,NA,NA,NA,NA,"Brick Kiln; NDVI; ResNet-152; sustainable development goals; you only look once (YOLO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","joep_2a","NO","242","VEXUESDN","journalArticle","2023","Chen, Xuanchi; Wang, Zongmin; Yang, Haibo; Ford, Alistair C.; Dawson, Richard J.","impacts of urban densification and vertical growth on urban heat environment: a case study in the 4th ring road area, zhengzhou, china","Journal of Cleaner Production",NA,"0959-6526","10.1016/j.jclepro.2023.137247","https://www.sciencedirect.com/science/article/pii/S0959652623014051","rapid urbanisation has significant impacts on the surface morphology, local regional climate, and thermal environment in urban areas. previous studies have focused on horizontal urban expansion. here we analyse both the impacts of horizontal sprawl and vertical changes on the urban thermal environment. we develop a method to understand the relationship between urban morphology and urban heat. first, we classified urban land-use and stereo image pairs to extract building heights. we then determined the links between the land surface temperature (lst) characteristics and the variations in building density (bd) and building height (bh). the method is applied to the 4th ring road area, zhengzhou city, china, that is shown to have experienced significant 3d expansion between 2013 and 2017, with a widespread shift from low to high bd, a marked decrease in single-storey buildings, and a sharp increase in high rise (≥50 m) buildings. however, the relationship between bh, bd and lst differs between summer and winter, is non-monotonic and switches directionality at bd = 0.2 and bh = 24 m and 100 m. the exact nature of these relationships, and in particular the inflection points that are critical to building density and height decisions, will vary between cities. however, the method provides critical information for decision-makers seeking to address the challenge of climate change within the spatial planning process.","2023-07-15","2024-01-19 10:23:26","2024-01-19 10:23:26",NA,"137247",NA,NA,"410",NA,"Journal of Cleaner Production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Building density; Building height; Land surface temperature; Remote sensing; Stereo images; Urban expansion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","joep_2a","NO","664","BGMF8MNN","journalArticle","2021","Niu, Zhibin; Wu, Junqi; Liu, Xiufeng; Huang, Lizhen; Nielsen, Per Sieverts","understanding energy demand behaviors through spatio-temporal smart meter data analysis","Energy",NA,"0360-5442","10.1016/j.energy.2021.120493","https://www.sciencedirect.com/science/article/pii/S0360544221007428","energy demand-side management, especially empowered by the fine-grained smart meter data, plays a significant role in the rational allocation of energy, monitoring and supervision of energy consumption behaviors. through the in-depth demand analysis including quantification of energy consumption dynamics and consumer preferences, energy decision-makers can develop reasonable and forethoughtful energy efficiency plans and demand-response programs. previous work in energy-demand behavioral research relied primarily on ideal socio-economic models or data-driven approaches, both of which lack flexibility, intuition and interpretability. this paper proposes a novel spatio-temporal visual analysis approach for urban energy consumption pattern discovery in order to identify energy-saving potentials, plan energy supply and improve energy efficiency. in this approach, energy consumption time series are embeded into a two-dimensional scatterplot for coordinated visual exploration. users can interactively explore and discover different patterns for decision-making purposes. in addition, we propose the method for modeling energy demand shift patterns based on a potential flow method and integrate it into a pattern exploration tool. the proposed approach is comprehensively evaluated through empirical studies using the real-world electricity consumption data from pudong district, shanghai. we identify five typical energy consumption patterns and demand shift patterns across different geographical locations, which can be well interpreted by the knowledge of energy consumption in the area of interest. the results demonstrate the effectiveness of the proposed approach and the tool. this tool can be integrated into smart energy systems for a better understanding of user energy consumption behaviors and preferences.","2021-07-01","2024-01-19 10:23:46","2024-01-19 10:23:46",NA,"120493",NA,NA,"226",NA,"Energy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy consumption; Pattern discovery; Pattern explorer; Spatio-temporal patterns; Visual analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","joep_2a","NO","667","BIBSPV58","journalArticle","2019","Pinder, Robert W.; Klopp, Jacqueline M.; Kleiman, Gary; Hagler, Gayle S.W.; Awe, Yewande; Terry, Sara","opportunities and challenges for filling the air quality data gap in low- and middle-income countries","Atmospheric Environment",NA,"1352-2310","10.1016/j.atmosenv.2019.06.032","https://www.sciencedirect.com/science/article/pii/S1352231019304236","given the millions of people suffering from air pollution, filling the air quality monitoring gap in low- and middle-income countries has been recognized as a global challenge. to meet this challenge and make it work will require private enterprise, multiple levels of government, international organizations, academia and civil society to work together toward the common goal of characterizing, understanding better, and then reducing, the air pollution that causes sickness and preventable death for millions of people each year in lowand middle-income countries around the world. this article offers concrete next steps on how to make progress toward increasing air quality monitoring using a combination of emerging technologies, adaptation to country-specific conditions, and building capacity towards the development of lasting institutions.","2019-10-15","2024-01-19 10:23:46","2024-01-19 10:23:46",NA,"116794",NA,NA,"215",NA,"Atmospheric Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Air quality monitoring; Lowand middle-income countries; PM2.5; Remote sensing; Sensors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","joep_2a","NO","626","HC7YSF7U","journalArticle","2023","Dimitrijević, Miloš S.","technological progress in the function of productivity and sustainability of agriculture: the case of innovative countries and the republic of serbia","Journal of Agriculture and Food Research",NA,"2666-1543","10.1016/j.jafr.2023.100856","https://www.sciencedirect.com/science/article/pii/S2666154323003630","bearing in mind the predictions of global population growth and the reduction of agricultural areas, followed by the depletion of non-renewable resources and environmental pollution, which leads to climate changes, it is necessary to implement sustainable solutions in the shortest possible time in agriculture, as one of the leading polluters. it is necessary to resolve the contradiction between increasing yields and preserving the environment. in this sense, modern technological solutions in agriculture should be applied, which will lead to an increase in productivity, i.e. creating a higher yield on the same or smaller areas. this can be achieved by optimizing the use of inputs in agriculture by introducing different solutions within precision agriculture. ai is one solution that needs to be developed and that leads to sustainable development. adequate education, digital literacy and appropriate infrastructure are also required for its application. the goal of the research is to indicate the direction in which technological progress in agriculture should go and how the current technologies applied in agriculture reflect on the economic and sustainable development. with ols panel regression concluded that only agricultural technologies that lead to increase productivity in agriculture have a positive impact on economic and sustainable development.","2023-12-01","2024-01-19 10:23:45","2024-01-19 10:23:45",NA,"100856",NA,NA,"14",NA,"Journal of Agriculture and Food Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AI in agriculture; Digital literacy; Innovation; Precision agriculture; Productivity; Sustainable development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","joep_2a","NO","417","EGR2SETM","journalArticle","2022","Stöcker, Claudia; Bennett, Rohan; Koeva, Mila; Nex, Francesco; Zevenbergen, Jaap","scaling up uavs for land administration: towards the plateau of productivity","Land Use Policy",NA,"0264-8377","10.1016/j.landusepol.2021.105930","https://www.sciencedirect.com/science/article/pii/S0264837721006530","unmanned aerial vehicles (uavs) are considered an innovative tool for land administration. however, despite the prospects and market opportunities in the domain, there is a gap between experimentation and widespread technology diffusion. in this work, the framework for effective land administration (fela) and the hype cycle concept are integrated to understand the dynamics of the innovation process of uavs for the land administration sector. empirical data stems from literature and interviews of uav and land administration experts worldwide. the majority of experts estimate uav technology to be in a phase in which the innovation needs to overcome initial unmet expectations to foster market development and increased adoption. the assessment indicates the changing importance of different fela pathways during this process. enabling laws and policies and supporting governance, accountability and institutions are crucial to create such a uav-friendly national ecosystem early on and allay exaggerated expectations. once this ecosystem has been made, market demand is expected to surge driven by partnerships, adapted standards, tech advocacy and awareness-raising campaigns, highlighting the superiority of high-resolution data amongst other benefits of uav technology. these insights can be used as a baseline to direct national strategic decisions towards the increased adoption of uavs in land administration.","2022-03-01","2024-01-19 10:23:36","2024-01-19 10:23:36",NA,"105930",NA,NA,"114",NA,"Land Use Policy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cadastral mapping; Diffusion of innovation; Fit-for-purpose land administration; Technology adoption; UAV technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","joep_2a","YES","164","H6DH4IJ3","journalArticle","2023","Rhif, Manel; Abbes, Ali Ben; Martínez, Beatriz; Farah, Imed Riadh","veg-w2tcn: a parallel hybrid forecasting framework for non-stationary time series using wavelet and temporal convolution network model","Applied Soft Computing",NA,"1568-4946","10.1016/j.asoc.2023.110172","https://www.sciencedirect.com/science/article/pii/S1568494623001904","long-term vegetation time series (ts) forecasting based on climatic data is one of the most challenging topics, capable of assisting in advanced estimation and management for scientific decision-making in different applications. however, these vegetation ts from remote sensing (i.e. normalized difference vegetation index (ndvi) and climatic data (standardized precipitation index (spi)) are generally non-stationary in the real world. for this reason, traditional ts forecasting algorithms are incapable of extracting sufficient sequence data features, resulting in poor forecasting accuracy. in this paper, a novel parallel hybrid forecasting framework (veg-w2tcn) is proposed combining multi-resolution analysis wavelet transform (mra-wt) and temporal convolution network (tcn) model for vegetation change forecasting. in the first step, the ndvi and spi tss are divided into multiple groups using land cover information. for effective feature extraction, each group of data is decomposed using mra-wt into trend and seasonal. then, the obtained trend/seasonal from ndvi and spi are concatenated. multivariate tss are obtained for each land cover. then, each component is trained individually using the tcn model. in this step, the grid search algorithm is exploited to select the optimal tcn hyperparameters. finally, a sum is used to integrate the different results. the proposed method is tested in the mediterranean area. veg-w2tcn proved its effectiveness for non-stationary ts forecasting. in fact, around 83% of pixels have a rmse lower than 0,1 using veg-w2tcn, compared to 74%, 72%, 60% and 59% of pixels are presented in tcn, long short-term memory (lstm), multiple linear regression (mlr) and gated recurrent unit (gru).","2023-04-01","2024-01-19 10:23:13","2024-01-19 10:23:13",NA,"110172",NA,NA,"137",NA,"Applied Soft Computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning; Hybrid forecasting method; Multiple models; Time series forecasting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
