"STUDY_ID","REVIEWERS","INCLUDE","STUDY_ID.1","REVIEWERS.1","INCLUDE.1","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"11","jonas_2b","YES","19","jonas_2a","YES","734","GMVSV3H4","journalArticle","2022","Owers, Christopher J.; Lucas, Richard M.; Clewley, Daniel; Tissott, Belle; Chua, Sean M. T.; Hunt, Gabrielle; Mueller, Norman; Planque, Carole; Punalekar, Suvarna M.; Bunting, Pete; Tan, Peter; Metternicht, Graciela","operational continental-scale land cover mapping of australia using the open data cube","International Journal of Digital Earth",NA,"1753-8947","10.1080/17538947.2022.2130461","https://doi.org/10.1080/17538947.2022.2130461","to comprehensively support national and international initiatives for sustainable development, land cover products need to be reliably and routinely generated within operational frameworks. coupled with consistent semantics and taxonomies, ensuring confidence in mapping land cover for multiple time periods, facilitates informed decision-making at scales appropriate to multiple policy domains. the united nations food and agriculture organisation (fao) land cover classification system (lccs) provides a taxonomy that comparable at different scales, level of detail and geographic location. the open data cube (odc) initiative offers a framework for operational continental-scale land cover mapping using analysis-ready earth observation data. this study utilised the fao lccs framework and the landsat sensor data through digital earth australia (dea; australia’s odc instance) to generate consistent and continent-wide land cover mapping (dea land cover) of the australian continent. dea land cover provides annual maps from 1988 to 2020 at 25 m resolution. output maps were validated with ∼12,000 independent validation points, giving an overall map accuracy of 80%. dea land cover provides australia with a nationally consistent picture of land cover, with an open-source software package using readily available global coverage data and demonstrates a pathway of adoption for national implementations across the world.","2022-12-31","2024-01-19 10:24:09","2024-01-19 10:24:09",NA,"1715-1737",NA,"1","15",NA,"International Journal of Digital Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","jonas_2b","YES","22","jonas_2a","YES","585","U46GRARC","journalArticle","2021","Hu, Zengyun; Zhang, Zizhan; Sang, Yan-Fang; Qian, Jing; Feng, Wei; Chen, Xi; Zhou, Qiming","temporal and spatial variations in the terrestrial water storage across central asia based on multiple satellite datasets and global hydrological models","Journal of Hydrology",NA,"0022-1694","10.1016/j.jhydrol.2021.126013","https://www.sciencedirect.com/science/article/pii/S0022169421000603","arid regions of central asia have sensitive ecosystems that rely heavily on terrestrial water storage which is composed of surface water storage, soil moisture storage and groundwater storage. therefore, we employed three gravity recovery and climate experiment (grace) satellite datasets and five global hydrological models (ghms) to explore the terrestrial water storage (tws) changes over arid regions of central asia from 2003 to 2014. we observed significantly decreasing water storage trends in the grace data, which were underestimated by the ghms. after averaging the three grace satellite datasets, we found that the water storage was decreasing at a rate of −4.74 mm/year. contrary to the prevailing declining water storage trends, northeastern kazakhstan (kaz), and southern xinjiang increased their water storage over the same period. the grace data showed that turkmenistan (tkm), uzbekistan (uzb) and kaz experienced the most severe water depletions, while tajikistan (tjk) and northwest china (nw) experienced the least significant depletions. with respect to the major river and lake basins, the aral sea basin exhibited the most serious water loss (-0.60 mm/month to −0.38 mm/month). the water storage positively correlates with the precipitation; and negatively correlates, with a three-month lag, with temperature and potential evapotranspiration (pet). partial least square regression (plsr) had the high capability in simulating and predicting the tws. these results provide scientific evidence and guidance for local policy makers working toward sustainable water resource management, and the resolution of international water resource disputes among central asian countries.","2021-05-01","2024-01-19 10:23:43","2024-01-19 10:23:43",NA,"126013",NA,NA,"596",NA,"Journal of Hydrology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central Asia; Global hydrological model; GRACE satellite dataset; Partial least square regression; Terrestrial water storage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","jonas_2b","maybe","23","jonas_2a","YES","477","4MTES2GD","journalArticle","2022","Sugimoto, Ryu; Kato, Soushi; Nakamura, Ryosuke; Tsutsumi, Chiaki; Yamaguchi, Yoshio","deforestation detection using scattering power decomposition and optimal averaging of volume scattering power in tropical rainforest regions","Remote Sensing of Environment",NA,"0034-4257","10.1016/j.rse.2022.113018","https://www.sciencedirect.com/science/article/pii/S0034425722001328","synthetic aperture radar (sar) has been a powerful tool for deforestation detection in tropical rainforests. polarimetric sar (polsar) data are acquired in a quad-polarization mode, and l-band polsar data in particular are one of the few sar data types that preserve the dielectric properties and structures of the scatterer. polsar data consist of 2 × 2 scattering matrices and consequently offer superior target recognition compared with dual-polarization data. in this study, we applied scattering power decomposition suitable for detecting deforestation in near real-time to polsar data obtained from the earth observation sensor phased array type l-band synthetic aperture radar-2 (palsar-2). the reflection symmetry condition is known to apply to natural distributed objects (i.e., the cross-correlation between co- and cross-polarization data is zero). inspired by this, we theoretically and experimentally examined the volume scattering power component to distinguish natural forests from the surrounding area. two important results were verified for natural forests: as the window size of the ensemble average increases, (i) the coherency matrix approaches a simple theoretical form and (ii) the volume scattering power becomes dominant among the scattering power components. based on these results, we constructed an algorithm that applies scattering power decomposition for detecting deforestation. we produced reference data using high-resolution optical images and evaluated the performance of the derived deforestation map in the amazon natural forest when employing various window sizes for the ensemble average. at an optimal window size of 15 × 15 pixels, the deforestation detection performance reached a user's accuracy of 94.9% ± 1.5%, a producer's accuracy of 72.3% ± 1.2%, and a kappa coefficient of 0.816 ± 0.0039. sparse trees left after logging increased the volume scattering power and reduced the producer's accuracy. the proposed algorithm can contribute to deforestation detection with slightly lower accuracy than that of the annual map provided by global forest change. further, the proposed algorithm is robust to the seasonal variations in tropical rainforests and temporal variations in the deforestation process. consequently, the proposed algorithm employing the six-component scattering power decomposition method can be utilized in near real-time without considering applicable areas in tropical rainforests. subsequently, we applied our algorithm to dual-polarization data, which are acquired by palsar-2 much more frequently than polsar data. the false detection rate did not increase when using the dual-polarization data; however, the omission error increased considerably compared with that when using polsar data owing to the low total power obtained from the dual-polarization data.","2022-06-15","2024-01-19 10:23:39","2024-01-19 10:23:39",NA,"113018",NA,NA,"275",NA,"Remote Sensing of Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deforestation; PALSAR-2; POLSAR; Reflection symmetry condition; Scattering power decomposition; Volume scattering power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","jonas_2b","YES","24","jonas_2a","YES","864","3MPCKH2B","journalArticle","2020","Nazir, U; Mian, UK; Sohail, MU; Taj, M; Uppal, M","kiln-net: a gated neural network for detection of brick kilns in south asia","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING",NA,"1939-1404","10.1109/JSTARS.2020.3001980",NA,"the availability of high-resolution satellite imagery has enabled several new applications such as identification of brick kilns for the elimination of modern-day slavery. this requires automated analysis of approximately 1 551 997 km(2) area within the ""brick-kiln-belt"" of south asia. although modern machine learning techniques have achieved high accuracy for a wide variety of applications, problems involving large-scale analysis using high-resolution satellite imagery requires both accuracy as well as computational efficiency. we propose a coarse-to-fine strategy consisting of an inexpensive classifier and a detector, which work in tandem to achieve high accuracy at low computational cost. more specifically, we propose a two-stage gated neural network architecture called kiln-net. at the first stage, imagery is classified using the resnet-152 modelwhich filters out over99% of irrelevant data. at the second stage, a yolov3-based object detector is applied to find the precise location of each brick kiln in the candidate regions. the dataset, named asia14, consisting of 14 000 digital globe rgb images and 14 categories is also developed to train the proposed kiln-net architecture. ourproposed network architecture is evaluated on approximately 3,300 km(2) region ( 337 723 image patches) from 14 different cities in five different countries of south asia. it outperforms state-of-the-art methods employed for the recognition of brick kilns and achieved an accuracy of 99.96% and average f1 score of 0.91. to the best of our knowledge, it is also 20 x faster than existing methods.","2020","2024-01-19 10:21:39","2024-01-19 10:53:59",NA,"3251-3262",NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","Alganci U, 2020, REMOTE SENS-BASEL, V12, DOI 10.3390/rs12030458",NA,NA,"WOS:000543958200001",NA,NA,NA,NA,NA,NA,"Brick Kiln; NDVI; ResNet-152; sustainable development goals; you only look once (YOLO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","jonas_2b","NO","30","jonas_2a","YES","164","H6DH4IJ3","journalArticle","2023","Rhif, Manel; Abbes, Ali Ben; Martínez, Beatriz; Farah, Imed Riadh","veg-w2tcn: a parallel hybrid forecasting framework for non-stationary time series using wavelet and temporal convolution network model","Applied Soft Computing",NA,"1568-4946","10.1016/j.asoc.2023.110172","https://www.sciencedirect.com/science/article/pii/S1568494623001904","long-term vegetation time series (ts) forecasting based on climatic data is one of the most challenging topics, capable of assisting in advanced estimation and management for scientific decision-making in different applications. however, these vegetation ts from remote sensing (i.e. normalized difference vegetation index (ndvi) and climatic data (standardized precipitation index (spi)) are generally non-stationary in the real world. for this reason, traditional ts forecasting algorithms are incapable of extracting sufficient sequence data features, resulting in poor forecasting accuracy. in this paper, a novel parallel hybrid forecasting framework (veg-w2tcn) is proposed combining multi-resolution analysis wavelet transform (mra-wt) and temporal convolution network (tcn) model for vegetation change forecasting. in the first step, the ndvi and spi tss are divided into multiple groups using land cover information. for effective feature extraction, each group of data is decomposed using mra-wt into trend and seasonal. then, the obtained trend/seasonal from ndvi and spi are concatenated. multivariate tss are obtained for each land cover. then, each component is trained individually using the tcn model. in this step, the grid search algorithm is exploited to select the optimal tcn hyperparameters. finally, a sum is used to integrate the different results. the proposed method is tested in the mediterranean area. veg-w2tcn proved its effectiveness for non-stationary ts forecasting. in fact, around 83% of pixels have a rmse lower than 0,1 using veg-w2tcn, compared to 74%, 72%, 60% and 59% of pixels are presented in tcn, long short-term memory (lstm), multiple linear regression (mlr) and gated recurrent unit (gru).","2023-04-01","2024-01-19 10:23:13","2024-01-19 10:23:13",NA,"110172",NA,NA,"137",NA,"Applied Soft Computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning; Hybrid forecasting method; Multiple models; Time series forecasting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","jonas_2b","NO","31","jonas_2a","YES","614","XYEPC6F5","journalArticle","2023","Puthumanaillam, Gokul; Verma, Ujjwal","texture based prototypical network for few-shot semantic segmentation of forest cover: generalizing for different geographical regions","Neurocomputing",NA,"0925-2312","10.1016/j.neucom.2023.03.062","https://www.sciencedirect.com/science/article/pii/S0925231223003119","forest plays a vital role in reducing greenhouse gas emissions and mitigating climate change, besides maintaining the world’s biodiversity. the existing satellite-based forest monitoring system utilizes supervised learning approaches limited to a particular region and depends on manually annotated data to identify forest. this work envisages forest identification as a few-shot semantic segmentation task to achieve generalization across different geographical regions. the proposed few-shot segmentation approach incorporates a texture attention module in the prototypical network to highlight the texture features of the forest. indeed, the forest exhibits a characteristic texture different from other classes, such as road, water, etc. in this work, the proposed approach is trained for identifying tropical forests of south asia and adapted to determine the temperate forest of central europe with the help of a few (one image for 1-shot) manually annotated support images of the temperate forest. an iou of 0.62 for forest class (1-way 1-shot) was obtained using the proposed method, which is significantly higher (0.46 for panet) than the existing few-shot semantic segmentation approach. besides, the experimental results demonstrate that the inclusion of the texture attention module in the existing prototypical few-shot segmentation methods (pfenet and asgnet) results in a more accurate forest identification. these results indicate that the proposed approach can generalize across geographical regions for forest identification, creating an opportunity to develop a global forest cover identification tool.","2023-06-14","2024-01-19 10:23:44","2024-01-19 10:23:44",NA,"126201",NA,NA,"538",NA,"Neurocomputing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cross-geography generalization; Few shot learning; Forest identification; Semantic segmentation; Sustainable development goals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","jonas_2b","YES","32","jonas_2a","YES","550","YQRNCU4P","journalArticle","2023","Li, Bohao; Liu, Kai; Wang, Ming; Wang, Yanfang; He, Qian; Zhuang, Linmei; Zhu, Weihua","high-spatiotemporal-resolution dynamic water monitoring using lightgbm model and sentinel-2 msi data","International Journal of Applied Earth Observation and Geoinformation",NA,"1569-8432","10.1016/j.jag.2023.103278","https://www.sciencedirect.com/science/article/pii/S1569843223001000","lake shrinkage and water scarcity are frequent problems in arid and semiarid regions; monitoring the variations of surface water using remote sensing images is useful for disaster prevention and water resource management. here, we proposed models using sentinel-2 images based on the light gradient boosting machine (lightgbm) to quantify the monthly surface water dynamics in the middle farming-pastoral ecotone of the northern china (m-fpenc) region, which was facing severe water security challenges from 2016 to 2021, at a 10-m resolution. the results show that the proposed models perform very well, with average values over 99.9% derived for four classification metrics; lightgbm is time-efficient and robust in different scenarios for surface water dynamic monitoring. the maps produced by these models could capture the details of surface water accurately in the m-fpenc region; the surface water area of the m-fpenc region showed a clear seasonal pattern, showing the largest average extent in june (856.9 km2) and the smallest average extent in november (486.6 km2); the annual average maximum water area was 1030.9 km2, of which 630.9 km2 was seasonal and 400 km2 was permanent. the proposed product can provide decision support for local water resources planning.","2023-04-01","2024-01-19 10:23:42","2024-01-19 10:23:42",NA,"103278",NA,NA,"118",NA,"International Journal of Applied Earth Observation and Geoinformation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farming-pastoral ecotone of Northern China (FPENC); LightGBM; Machine learning; Sentinel-2; Surface water dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","jonas_2b","YES","33","jonas_2a","YES","696","RFFEI6ZQ","journalArticle","2021","Warren, Mark A.; Simis, Stefan G.H.; Selmes, Nick","complementary water quality observations from high and medium resolution sentinel sensors by aligning chlorophyll-a and turbidity algorithms","Remote Sensing of Environment",NA,"0034-4257","10.1016/j.rse.2021.112651","https://www.sciencedirect.com/science/article/pii/S0034425721003710","high resolution imaging spectrometers are prerequisite to address significant data gaps in inland optical water quality monitoring. in this work, we provide a data-driven alignment of chlorophyll-a and turbidity derived from the sentinel-2 multispectral imager (msi) with corresponding sentinel-3 ocean and land colour instrument (olci) products. for chlorophyll-a retrieval, empirical ‘ocean colour’ blue-green band ratios and a near infra-red (nir) band ratio algorithm, as well as a semi-analytical three-band nir-red ratio algorithm, were included in the analysis. six million co-registrations with msi and olci spanning 24 lakes across five continents were analysed. following atmospheric correction with polymer, the reflectance distributions of the red and nir bands showed close similarity between the two sensors, whereas the distribution for blue and green bands was positively skewed in the msi results compared to olci. whilst it is not possible from this analysis to determine the accuracy of reflectance retrieved with either msi or olci results, optimizing water quality algorithms for msi against those previously derived for the envisat medium resolution imaging spectrometer (meris) and its follow-on olci, supports the wider use of msi for aquatic applications. chlorophyll-a algorithms were thus tuned for msi against concurrent olci observations, resulting in significant improvements against the original algorithm coefficients. the mean absolute difference (mad) for the blue-green band ratio algorithm decreased from 1.95 mg m−3 to 1.11 mg m−3, whilst the correlation coefficient increased from 0.61 to 0.80. for the nir-red band ratio algorithms improvements were modest, with the mad decreasing from 4.68 to 4.64 mg m−3 for the empirical red band ratio algorithm, and 3.73 to 3.67 for the semi-analytical 3-band algorithm. three implementations of the turbidity algorithm showed improvement after tuning with the resulting distributions having reduced bias. the mad reduced from 0.85 to 0.72, 1.22 to 1.10 and 1.93 to 1.55 fnu for the 665, 708 and 778 nm implementations respectively. however, several sources of uncertainty remain: adjacent land showed high divergence between the sensors, suggesting that high product uncertainty near land continues to be an issue for small water bodies, while it cannot be stated at this point whether msi or olci results are differentially affected. the effect of spectrally wider bands of the msi on algorithm sensitivity to chlorophyll-a and turbidity cannot be fully established without further availability of in situ optical measurements.","2021-11-01","2024-01-19 10:23:47","2024-01-19 10:23:47",NA,"112651",NA,NA,"265",NA,"Remote Sensing of Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","jonas_2b","NO","34","jonas_2a","YES","27","HTSS62TD","journalArticle","2022","Brook, Anna; Hamzi, Seham; Roberts, Dar; Ichoku, Charles; Shtober-Zisu, Nurit; Wittenberg, Lea","total carbon content assessed by uas near-infrared imagery as a new fire severity metric","Remote Sensing",NA,NA,"10.3390/rs14153632","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/total-carbon-content-assessed-uas-near-infrared/docview/2700767100/se-2?accountid=12045","the ash produced by forest fires is a complex mixture of organic and inorganic particles with many properties. amounts of ash and char are used to roughly evaluate the impacts of a fire on nutrient cycling and ecosystem recovery. numerous studies have suggested that fire severity can be assessed by measuring changes in ash characteristics. traditional methods to determine fire severity are based on in situ observations, and visual approximation of changes in the forest floor and soil which are both laborious and subjective. these measures primarily reflect the level of consumption of organic layers, the deposition of ash, particularly its depth and color, and fire-induced changes in the soil. recent studies suggested adding remote sensing techniques to the field observations and using machine learning and spectral indices to assess the effects of fires on ecosystems. while index thresholding can be easily implemented, its effectiveness over large areas is limited to pattern coverage of forest type and fire regimes. machine learning algorithms, on the other hand, allow multivariate classifications, but learning is complex and time-consuming when analyzing space-time series. therefore, there is currently no consensus regarding a quantitative index of fire severity. considering that wildfires play a major role in controlling forest carbon storage and cycling in fire-suppressed forests, this study examines the use of low-cost multispectral imagery across visible and near-infrared regions collected by unmanned aerial systems to determine fire severity according to the color and chemical properties of vegetation ash. the use of multispectral imagery data might reduce the lack of precision that is part of manual color matching and produce a vast and accurate spatio-temporal severity map. the suggested severity map is based on spectral information used to evaluate chemical/mineralogical changes by deep learning algorithms. these methods quantify total carbon content and assess the corresponding fire intensity that is required to form a particular residue. by designing three learning algorithms (pls-da, ann, and 1-d cnn) for two datasets (rgb images and munsell color versus unmanned aerial system (uas)-based multispectral imagery) the multispectral prediction results were excellent. therefore, deep network-based near-infrared remote sensing technology has the potential to become an alternative reliable method to assess fire severity.","2022","2024-01-16 09:03:52","2024-01-19 10:59:55",NA,"3632",NA,"15","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2700767100",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/WotrN?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMzgyCjI3MDA3NjcxMDA6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMi8wMS8wMXIKMjAyMi8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=UGMs8Mh0h9DhxhxlLN%2BWENC2N9w%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Total+Carbon+Content+Assessed+by+UAS+Near-Infrared+Imagery+as+a+New+Fire+Severity+Metric&title=Remote+Sensing&issn=&date=2022-01-01&volume=14&issue=15&spage=3632&au=Brook%2C+Anna%3BHamzi%2C+Seham%3BRoberts%2C+Dar%3BIchoku%2C+Charles%3BShtober-Zisu%2C+Nurit%3BWittenberg%2C+Lea&isbn=&jtitle=Remote+Sensing&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Frs14153632","Algorithms; Ash; Ashes; Biomass; Carbon; Carbon content; Carbon cycle; Carbon sequestration; Chemical properties; Color; Color imagery; Color matching; Cycles; Deep learning; Discriminant analysis; Ecosystem recovery; Evaluation; fire severity; Forest & brush fires; Forest fires; Forest floor; Forests; I.R. radiation; Image processing; Infrared imagery; Learning algorithms; machine learning; Machine learning; Mapping; Multispectral imagery; Nitrogen; Nutrient cycles; Physics; post-fire environment; Remote sensing; Sensors; Soils; spectral model; Topography; total carbon; Total carbon; unmanned aerial system multispectral imagery; Unmanned aerial vehicle; Unmanned aerial vehicles; Vegetation; Visual observation; Wildfire; Wildfires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","jonas_2b","YES","35","jonas_2a","YES","350","SPJI4PCU","journalArticle","2021","Wang, Hanjie; Maruejols, Lucie; Yu, Xiaohua","predicting energy poverty with combinations of remote-sensing and socioeconomic survey data in india: evidence from machine learning","Energy Economics",NA,"0140-9883","10.1016/j.eneco.2021.105510","https://www.sciencedirect.com/science/article/pii/S0140988321003923","identifying energy poverty and targeting interventions require up-to-date and comprehensive survey data, which are expensive, time-consuming, and difficult to conduct, especially in rural areas of developing countries. this paper examined the potential of satellite remote sensing data in energy poverty prediction combined with socioeconomic survey data in response to these challenges. we found that a machine learning algorithm incorporating geographical and environmental remotely collected indicators could identify 90.91% of the districts with high energy poverty and performs better than those using socioeconomic indicators only. specifically, precipitation and fine particulate matter (pm2.5) offer the most significant contribution. moreover, the algorithm, which was trained using a dataset from 2015, could also perform well to predict energy poverty using two environment indicators: precipitation and pm2.5 concentration.","2021-10-01","2024-01-19 10:23:31","2024-01-19 10:23:31",NA,"105510",NA,NA,"102",NA,"Energy Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy poverty prediction; Machine learning; PM concentration; Precipitation; Random forest; Remote sensing data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","jonas_2b","maybe","36","jonas_2a","YES","156","VCH9IGY5","journalArticle","2023","Anh, Duong Tran; Pandey, Manish; Mishra, Varun Narayan; Singh, Kiran Kumari; Ahmadi, Kourosh; Janizadeh, Saeid; Tran, Thanh Thai; Linh, Nguyen Thi Thuy; Dang, Nguyen Mai","assessment of groundwater potential modeling using support vector machine optimization based on bayesian multi-objective hyperparameter algorithm","Applied Soft Computing",NA,"1568-4946","10.1016/j.asoc.2022.109848","https://www.sciencedirect.com/science/article/pii/S1568494622008973","today, water supply in order to achieve sustainable development goals is one of the most important concerns and challenges in most countries. for this reason, accurate identification of areas with groundwater potential is one of the important tools in the protection, management and exploitation of water resources. accordingly, the present study was conducted with the aim of modeling and predicting groundwater potential in markazi province, iran using multivariate adaptive regression spline (mars) and support vector machine (svm) machine learning models and using two random search (rs) and bayesian optimization hyperparameter algorithms to optimize the parameters of the svm model. for this purpose, 18 variables affecting the groundwater potential and 3482 spring locations were used to model the groundwater potential. data for modeling were divided into two categories of training (70%) and validation (30%). the receiver operating characteristics (roc) were used to evaluate the performance of the models. the results of evaluation models showed that using hyperparameters random search and bayesian optimization were improved svm accuracy in training and validation stages. bayesian optimization methods are very efficient because they are consciously choosing the parameters of the model that this strategy improves the performance of the model. evaluating accuracy in the validation stage showed that the auc value is for mars, svm, rs-svm and b-svm models 87.40%, 88.25%, 90.73% and 91.73%, respectively. the results of assessment variables importance showed elevation, precipitation in the coldest month, soil and slope variables have the most importance in modeling groundwater potential, while aspect, profile curvature and twi variables, have the least importance in predicting groundwater potential in markazi province.","2023-01-01","2024-01-19 10:23:13","2024-01-19 10:29:50",NA,"109848",NA,NA,"132",NA,"Applied Soft Computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bayesian optimization; DELINEATION; DISTRICT; ENSEMBLE; GIS TECHNIQUES; Groundwater potential; HARD-ROCK; Hyperparameters; Markazi province; Random search; SRI-LANKA; Support vector machine; TERRAIN; USE/LAND COVER CLASSIFICATION; ZONATION; ZONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
